numSample,x1_pix,y1_pix,x2_pix,y2_pix,laser_X_m,laser_Y_m,laser_Z_m,radar_X_m,radar_Y_m,radar_R_m,radar_A_deg,radar_D_mps,radar_P_db,dataset,index,Difficult,vehicle_class,iou_class,conf_class,track_id,cx,cy
13852,351,499,662,726,-3.32939887046814,11.42276382446289,0.574251651763916,-3.199965715408325,11.861401557922363,12.37582778930664,15.100000381469728,45.0,25713756.0,RECORD@2020-11-22_12.03.47,9,1.0,car,0.9565137028694152,0.3720766603946686,0,3.224,13.949
13853,401,501,691,703,-3.2550880908966064,12.498887062072754,0.6403661370277405,-3.219538688659668,13.002683639526367,13.473684310913086,14.100000381469728,44.0,38268824.0,RECORD@2020-11-22_12.03.47,10,1.0,car,0.9304895997047424,0.943239152431488,0,3.282,15.068
13856,502,502,740,677,-3.2443013191223145,15.494500160217283,0.6432486772537231,-3.250399112701416,16.061437606811523,16.368030548095703,11.199999809265137,42.0,22363786.0,RECORD@2020-11-22_12.03.47,13,1.0,car,0.941344916820526,0.4982340335845947,0,3.179,18.056
13857,532,503,754,670,-3.2207677364349365,16.345003128051758,0.6535900831222534,-2.882109880447388,16.950448989868164,17.36608123779297,9.899999618530272,42.0,29796058.0,RECORD@2020-11-22_12.03.47,14,0.0,car,0.9538642168045044,0.9403496384620668,0,2.986,19.107
13858,557,500,766,656,-3.127530574798584,17.27523422241211,0.673895001411438,-3.151861906051636,17.967205047607422,18.264328002929688,10.0,41.0,29246834.0,RECORD@2020-11-22_12.03.47,15,0.0,car,0.9615806937217712,0.909327507019043,0,3.172,19.987
13860,657,500,818,625,-2.948518991470337,22.755868911743164,0.7625809907913208,-2.7943060398101807,23.605607986450195,23.753604888916016,6.800000190734863,38.0,16876364.0,RECORD@2020-11-22_12.03.47,21,0.0,car,0.955151379108429,0.935188055038452,0,2.813,25.587
13861,671,509,824,628,-2.897754430770874,23.607290267944336,0.7769569158554077,-2.606450080871582,24.379623413085938,24.552045822143555,6.099999904632568,38.0,22284500.0,RECORD@2020-11-22_12.03.47,22,0.0,car,0.9348110556602478,0.8178009390830994,0,2.609,26.413
13862,682,507,830,626,-2.86337685585022,24.52295112609864,0.7901455163955688,-2.5610835552215576,25.21690368652344,25.350486755371094,5.800000190734863,37.0,24489036.0,RECORD@2020-11-22_12.03.47,23,0.0,car,0.9326230883598328,0.3327381610870361,0,2.562,27.221
13863,690,500,836,614,-2.8027894496917725,25.387083053588867,0.8194441795349121,-2.5951590538024902,25.997547149658203,26.14892768859864,5.699999809265137,36.0,14668694.0,RECORD@2020-11-22_12.03.47,24,0.0,car,0.9509304761886596,0.6874938011169434,0,2.597,28.02
13864,704,511,841,619,-2.760303974151612,26.108606338500977,0.8178812861442566,-2.332615375518799,26.830934524536133,26.94736671447754,4.900000095367432,36.0,19732964.0,RECORD@2020-11-22_12.03.47,25,0.0,car,0.9304697513580322,0.869427502155304,0,2.302,28.849
